activity_id;date;distance_in_m;split_no;average_speed_formatted;adjusted_grade_speed_formatted;average_speed;adjusted_grade_speed;elevation_difference_in_m;location;activity_type;pace_zone
9661025258;2023-08-16 17:50:24+00:00;1006,0;1;03:18;03:17;0 days 00:03:18.031496;0 days 00:03:17.254902;-0,4;Austria;Run;Zone6
10125124949;2023-10-29 13:10:07+00:00;1000,4;1;03:34;03:34;0 days 00:03:34.218415;0 days 00:03:34.678112;-3,3;Austria;Run;Zone6
10229800086;2023-11-16 17:45:36+00:00;1004,1;3;03:37;03:38;0 days 00:03:37.809111;0 days 00:03:38.282609;-0,9;Austria;Run;Zone6
10125015056;2023-10-29 12:54:12+00:00;1002,8;1;03:40;03:41;0 days 00:03:40.881057;0 days 00:03:41.368653;-2,0;Austria;Run;Zone6
10118619298;2023-10-28 12:29:34+00:00;1002,4;1;03:42;03:42;0 days 00:03:42.755556;0 days 00:03:42.755556;-0,2;Austria;Run;Zone5
10125065173;2023-10-29 13:01:17+00:00;1004,5;1;03:43;03:41;0 days 00:03:43.222222;0 days 00:03:41.743929;2,9;Austria;Run;Zone5
10124925488;2023-10-29 12:41:39+00:00;1001,4;1;03:44;03:42;0 days 00:03:44.026846;0 days 00:03:42.533333;2,8;Austria;Run;Zone5
9983196705;2023-10-05 17:29:00+00:00;1000,7;10;03:44;03:47;0 days 00:03:44.876404;0 days 00:03:47.431818;-7,1;Austria;Run;Zone5
10124966737;2023-10-29 12:47:33+00:00;1001,7;1;03:45;03:43;0 days 00:03:45.101124;0 days 00:03:43.593750;2,3;Austria;Run;Zone5
9803431308;2023-09-07 17:39:43+00:00;1002,0;1;03:45;03:43;0 days 00:03:45.168539;0 days 00:03:43.660714;2,2;Austria;Run;Zone5
10229800086;2023-11-16 17:45:36+00:00;1000,0;1;03:47;03:48;0 days 00:03:47.790433;0 days 00:03:48.310502;-0,6;Austria;Run;Zone5
9849091976;2023-09-14 17:21:34+00:00;1000,1;1;03:47;03:47;0 days 00:03:47.813212;0 days 00:03:47.813212;0,0;Austria;Run;Zone5
